reaction,server,reactant1,reactant2,no_of_carbon,no_of_nitrogen,no_of_oxygen,aromatic_exist,no_of_sgbonds,no_of_dbbonds,no_of_tpbonds
rmg_rxn_10643,RMG,[CH2]C[N]O,CC=CON(N)C,6,3,2,False,8,1,0
rmg_rxn_10644,RMG,CN=O,CC=CON([NH])C,5,3,2,False,6,2,0
rmg_rxn_10645,RMG,C[CH]OCC,CC=CON(N)C,8,2,2,False,9,1,0
rmg_rxn_10646,RMG,[CH2]COCC,CC=CON(N)C,8,2,2,False,9,1,0
rmg_rxn_10647,RMG,[C]#CC,CC=CON(N)C,7,2,1,False,6,1,1
rmg_rxn_10648,RMG,CC[CH]OC,CC=CON(N)C,8,2,2,False,9,1,0
rmg_rxn_10649,RMG,[CH2]CCOC,CC=CON(N)C,8,2,2,False,9,1,0
rmg_rxn_10650,RMG,[CH2]OCCC,CC=CON(N)C,8,2,2,False,9,1,0
rmg_rxn_10651,RMG,CN(O)[NH],CC=CON([NH])C,5,4,2,False,8,1,0
rmg_rxn_10652,RMG,[O-][NH+]=N,CC=CON([NH])C,4,4,2,False,6,2,0
rmg_rxn_10653,RMG,[O-][NH+]=[N],CC=CON(N)C,4,4,2,False,6,2,0
rmg_rxn_10654,RMG,[C]#N,CC=CON(N)C,5,3,1,False,5,1,1
rmg_rxn_10655,RMG,CC=CON(N)C,[C]1=CC=C[CH]C1,10,2,1,False,9,3,0
rmg_rxn_10656,RMG,CC=CON(N)C,[C]1=C[CH]CC=C1,10,2,1,False,9,3,0
rmg_rxn_10657,RMG,[O-][N+](=N)[CH2],CC=CON(N)C,5,4,2,False,7,2,0
rmg_rxn_10658,RMG,[O-][NH+]([NH])C,CC=CON([NH])C,5,4,2,False,8,1,0
rmg_rxn_10659,RMG,[O-][NH+]([NH])[CH2],CC=CON(N)C,5,4,2,False,8,1,0
rmg_rxn_10660,RMG,[N-]=[NH2+],CC=CON([NH])C,4,4,1,False,5,2,0
rmg_rxn_10661,RMG,CC1NO1,CC=CON([NH])C,6,3,2,False,9,1,0
rmg_rxn_10662,RMG,[O-][NH+]1CC1,CC=CON([NH])C,6,3,2,False,9,1,0
rmg_rxn_10663,RMG,C1CNO1,CC=CON([NH])C,6,3,2,False,9,1,0
rmg_rxn_10664,RMG,C[CH]C=O,CC=CON(N)C,7,2,2,False,7,2,0
rmg_rxn_10665,RMG,[CH2]CC=O,CC=CON(N)C,7,2,2,False,7,2,0
rmg_rxn_10666,RMG,[CH2]OCCC=O,CC=CON(N)C,8,2,3,False,9,2,0
rmg_rxn_10667,RMG,C=CCOC[O],CC=CON(N)C,8,2,3,False,9,2,0
