RXN,RUN,SUCCESS,CHECKED,MOVED,ERROR
rmg_rxn_158,False,False,False,True,False
rmg_rxn_159,False,False,False,True,False
rmg_rxn_160,False,False,False,True,False
rmg_rxn_161,False,False,False,True,False
rmg_rxn_162,False,False,False,True,False
rmg_rxn_163,False,False,False,True,False
rmg_rxn_164,False,False,False,True,False
rmg_rxn_165,False,False,False,True,False
rmg_rxn_166,False,False,False,True,False
rmg_rxn_167,False,False,False,True,False
rmg_rxn_168,False,False,False,True,False
rmg_rxn_169,False,False,False,True,False
rmg_rxn_170,False,False,False,True,False
rmg_rxn_171,False,False,False,True,False
rmg_rxn_172,False,False,False,True,False
rmg_rxn_173,False,False,False,True,False
rmg_rxn_174,False,False,False,True,False
rmg_rxn_175,False,False,False,True,False
rmg_rxn_176,False,False,False,True,False
rmg_rxn_177,False,False,False,True,False
rmg_rxn_178,False,False,False,True,False
rmg_rxn_179,False,False,False,True,False
rmg_rxn_180,False,False,False,True,False
rmg_rxn_181,False,False,False,True,False
rmg_rxn_182,False,False,False,True,False
rmg_rxn_183,False,False,False,True,False
rmg_rxn_184,False,False,False,True,False
rmg_rxn_185,False,False,False,True,False
rmg_rxn_186,False,False,False,True,False
rmg_rxn_187,False,False,False,True,False
rmg_rxn_188,False,False,False,True,False
rmg_rxn_189,False,False,False,True,False
rmg_rxn_190,False,False,False,True,False
rmg_rxn_191,False,False,False,True,False
rmg_rxn_192,False,False,False,True,False
rmg_rxn_193,False,False,False,True,False
rmg_rxn_194,False,False,False,True,False
rmg_rxn_195,False,False,False,True,False
rmg_rxn_196,False,False,False,True,False
rmg_rxn_197,False,False,False,True,False
rmg_rxn_198,False,False,False,True,False
rmg_rxn_199,False,False,False,True,False
rmg_rxn_200,False,False,False,True,False
rmg_rxn_201,False,False,False,True,False
rmg_rxn_202,False,False,False,True,False
rmg_rxn_203,False,False,False,True,False
rmg_rxn_204,False,False,False,True,False
rmg_rxn_205,False,False,False,True,False
rmg_rxn_206,False,False,False,True,False
rmg_rxn_207,False,False,False,True,False
rmg_rxn_208,False,False,False,True,False
rmg_rxn_209,False,False,False,True,False
rmg_rxn_210,False,False,False,True,False
rmg_rxn_211,False,False,False,True,False
rmg_rxn_212,False,False,False,True,False
rmg_rxn_213,False,False,False,True,False
rmg_rxn_214,False,False,False,True,False
rmg_rxn_215,False,False,False,True,False
rmg_rxn_216,False,False,False,True,False
rmg_rxn_217,False,False,False,True,False
rmg_rxn_218,False,False,False,True,False
rmg_rxn_219,False,False,False,True,False
rmg_rxn_220,False,False,False,True,False
rmg_rxn_221,False,False,False,True,False
rmg_rxn_222,False,False,False,True,False
rmg_rxn_223,False,False,False,True,False
rmg_rxn_224,False,False,False,True,False
rmg_rxn_225,False,False,False,True,False
rmg_rxn_226,False,False,False,True,False
rmg_rxn_227,False,False,False,True,False
rmg_rxn_228,False,False,False,True,False
rmg_rxn_229,False,False,False,True,False
rmg_rxn_230,False,False,False,True,False
rmg_rxn_231,False,False,False,True,False
rmg_rxn_232,False,False,False,True,False
rmg_rxn_233,False,False,False,True,False
rmg_rxn_234,False,False,False,True,False
rmg_rxn_235,False,False,False,True,False
rmg_rxn_236,False,False,False,True,False
rmg_rxn_237,False,False,False,True,False
rmg_rxn_238,False,False,False,True,False
rmg_rxn_239,False,False,False,True,False
rmg_rxn_240,False,False,False,True,False
rmg_rxn_241,False,False,False,True,False
rmg_rxn_242,False,False,False,True,False
rmg_rxn_243,False,False,False,True,False
rmg_rxn_244,False,False,False,True,False
rmg_rxn_245,False,False,False,True,False
rmg_rxn_246,False,False,False,True,False
rmg_rxn_247,False,False,False,True,False
rmg_rxn_248,False,False,False,True,False
rmg_rxn_249,False,False,False,True,False
rmg_rxn_250,False,False,False,True,False
rmg_rxn_251,False,False,False,True,False
rmg_rxn_252,False,False,False,True,False
rmg_rxn_253,False,False,False,True,False
rmg_rxn_254,False,False,False,True,False
rmg_rxn_255,False,False,False,True,False
rmg_rxn_256,False,False,False,True,False
rmg_rxn_257,False,False,False,True,False
rmg_rxn_258,False,False,False,True,False
rmg_rxn_259,False,False,False,True,False
rmg_rxn_260,False,False,False,True,False
rmg_rxn_261,False,False,False,True,False
rmg_rxn_262,False,False,False,True,False
rmg_rxn_263,False,False,False,True,False
rmg_rxn_264,False,False,False,True,False
rmg_rxn_265,False,False,False,True,False
rmg_rxn_266,False,False,False,True,False
rmg_rxn_267,False,False,False,True,False
rmg_rxn_268,False,False,False,True,False
rmg_rxn_269,False,False,False,True,False
rmg_rxn_270,False,False,False,True,False
rmg_rxn_271,False,False,False,True,False
rmg_rxn_272,False,False,False,True,False
rmg_rxn_273,False,False,False,True,False
rmg_rxn_274,False,False,False,True,False
rmg_rxn_275,False,False,False,True,False
rmg_rxn_276,False,False,False,True,False
rmg_rxn_277,False,False,False,True,False
rmg_rxn_278,False,False,False,True,False
rmg_rxn_279,False,False,False,True,False
rmg_rxn_280,False,False,False,True,False
rmg_rxn_281,False,False,False,True,False
rmg_rxn_282,False,False,False,True,False
rmg_rxn_283,False,False,False,True,False
rmg_rxn_284,False,False,False,True,False
rmg_rxn_285,False,False,False,True,False
rmg_rxn_286,False,False,False,True,False
rmg_rxn_287,False,False,False,True,False
rmg_rxn_288,False,False,False,True,False
rmg_rxn_289,False,False,False,True,False
rmg_rxn_290,False,False,False,True,False
rmg_rxn_291,False,False,False,True,False
rmg_rxn_292,False,False,False,True,False
rmg_rxn_293,False,False,False,True,False
rmg_rxn_294,False,False,False,True,False
rmg_rxn_295,False,False,False,True,False
rmg_rxn_296,False,False,False,True,False
rmg_rxn_297,False,False,False,True,False
rmg_rxn_298,False,False,False,True,False
rmg_rxn_299,False,False,False,True,False
