reaction,server,reactant1,reactant2,no_of_carbon,no_of_nitrogen,no_of_oxygen,aromatic_exist,no_of_sgbonds,no_of_dbbonds,no_of_tpbonds
rxn_1900,Zeus,C[C](c1ccccc1)S,CCS,10,0,0,False,5,0,0
rxn_2012,Zeus,CCC=S,C[C](C)c1ccccc1,12,0,0,True,5,1,0
rxn_1491,Zeus,C#C[C](C)C#C,CCc1ccccc1,14,0,0,True,5,0,2
rxn_860,Zeus,C[C](C#C)S,C,5,0,0,False,3,0,1
rxn_694,Zeus,[NH2],C=CO,2,1,1,False,1,1,0
rxn_425,Zeus,CC(C)CO,C[CH]C=O,7,0,2,False,6,1,0
rxn_1413,Zeus,C#CC(C)C#C,C[C](S)C,9,0,0,False,6,0,2
rxn_120,Zeus,CCN,[OH],2,1,1,False,2,0,0
rxn_2003,Zeus,C=C[CH]C=C,CCC=S,8,0,0,False,4,3,0
rxn_929,Zeus,C#C[C]=C,CCC,7,0,0,False,3,1,1
rxn_829,Zeus,[CH2]C=C,C,4,0,0,False,1,1,0
rxn_290,Zeus,[OH],CC,2,0,1,False,1,0,0
rxn_566,Zeus,C#C[C](C)C,C1CC2CCCC2C1,13,0,0,False,12,0,1
rxn_1913,Zeus,CC(S)C,C=C[CH]C,7,0,0,False,5,1,0
rxn_1969,Zeus,[CH]=C,CC=S,4,0,0,False,1,2,0
rxn_1157,Zeus,C[C](C=C)S,C=CCC=C,9,0,0,False,5,3,0
rxn_966,Zeus,[CH2]c1ccccc1,CC(C)C,11,0,0,False,4,0,0
rxn_1079,Zeus,C=C[C]=S,C=CCC,7,0,0,False,3,3,0
rxn_1669,Zeus,C[CH]S,C=CC=C,6,0,0,False,3,2,0
rxn_1989,Zeus,[CH]=S,CC=S,3,0,0,False,1,2,0
rxn_1086,Zeus,C=CC(C)C,[CH2]C=C,8,0,0,False,4,2,0
rxn_817,Zeus,[H][H],C[C](C=S)S,3,0,0,False,4,1,0
rxn_1040,Zeus,C=CCC,C[CH]C,7,0,0,False,4,1,0
rxn_481,Zeus,C=CO,C[S],3,0,1,False,2,1,0
rxn_1999,Zeus,C#C[C]=C,CC(S)C,7,0,0,False,4,1,1
rxn_891,Zeus,[CH2]C=S,CC,4,0,0,False,2,1,0
rxn_333,Zeus,[C]#C,CCC,5,0,0,False,2,0,1
rxn_174,Zeus,C=CC,[c]1ccccc1,9,0,0,True,1,1,0
rxn_342,Zeus,C=C,[O],2,0,1,False,0,1,0
rxn_1877,Zeus,C#C[C](C)C#C,CCS,8,0,0,False,5,0,2
rxn_1998,Zeus,CCC=S,C[C](C)C,7,0,0,False,5,1,0
rxn_1048,Zeus,C#C[C](C)C,C=CCC,9,0,0,False,5,1,1
rxn_1801,Zeus,CS,C[CH2],3,0,0,False,2,0,0
rxn_1875,Zeus,C#C[C](C)C,CCS,7,0,0,False,5,0,1
rxn_1272,Zeus,C#CCC,C[CH]c1ccccc1,12,0,0,True,4,0,1
rxn_118,Zeus,CCN,[NH2],2,2,0,False,2,0,0
rxn_1321,Zeus,C#CC(C)C,[c]1ccccc1,11,0,0,True,3,0,1
rxn_1463,Zeus,S[CH]C=C,Cc1ccccc1,10,0,0,True,3,1,0
rxn_1411,Zeus,C#CC(C)C#C,[CH2]S,7,0,0,False,4,0,2
rxn_787,Zeus,[H][H],C[CH]C,3,0,0,False,3,0,0
rxn_312,Zeus,[H][H],C[O],1,0,1,False,2,0,0
rxn_431,Zeus,OO,C[C]=CC,4,0,2,False,3,1,0
rxn_1238,Zeus,C#CC,[CH2]C=S,5,0,0,False,2,1,1
rxn_1591,Zeus,C=C,S=C[C](C)C,6,0,0,False,3,2,0
rxn_1368,Zeus,C#CCC#C,C[CH]S,7,0,0,False,4,0,2
rxn_148,Zeus,[Cl],CCCCOC=O,5,0,2,False,5,1,0
rxn_1220,Zeus,C#CC,C=C[C](C)C,8,0,0,False,4,1,1
rxn_1635,Zeus,C[C](C=S)S,C=CC,6,0,0,False,4,2,0
rxn_1309,Zeus,C#CC(C)C,C=C[CH]C=C,10,0,0,False,5,2,1
rxn_1400,Zeus,C#CC(C)C#C,C#C[CH]C,10,0,0,False,5,0,3
rxn_1099,Zeus,C=[C]C,C=CC(C)C,8,0,0,False,4,2,0
rxn_1599,Zeus,C[C](C#C)S,C=C,6,0,0,False,3,1,1
rxn_1223,Zeus,C#CC,C#C[CH]C,7,0,0,False,3,0,2
rxn_1887,Zeus,C[C](S)C,CCS,5,0,0,False,5,0,0
rxn_1511,Zeus,S[CH]C#C,CCc1ccccc1,11,0,0,True,4,0,1
rxn_206,Zeus,COO,[OH],1,0,3,False,2,0,0
rxn_831,Zeus,C=C[C](C)C,C,6,0,0,False,3,1,0
rxn_192,Zeus,CO,[H],1,0,1,False,1,0,0
rxn_670,Zeus,C=N,[CH3],2,1,0,False,0,1,0
rxn_1165,Zeus,C=CCC=C,C[C]=S,7,0,0,False,3,3,0
rxn_1661,Zeus,C=CC=C,[CH2]c1ccccc1,11,0,0,True,2,2,0
rxn_909,Zeus,[H],CCC,3,0,0,False,2,0,0
rxn_848,Zeus,C[CH]S,C,3,0,0,False,2,0,0
rxn_1056,Zeus,C=[C]C=C,C=CCC,8,0,0,False,3,3,0
rxn_837,Zeus,C#C[CH]C#C,C,6,0,0,False,2,0,2
rxn_268,Zeus,Cc1ccccc1,[CH3],8,0,0,False,1,0,0
rxn_1146,Zeus,C#C[C]=C,C=CCC=C,9,0,0,False,3,3,1
rxn_987,Zeus,C[C](C#C)S,CC(C)C,8,0,0,False,6,0,1
rxn_590,Zeus,C#C[C](C)C#C,C1CCC2CCCC2C1,15,0,0,False,13,0,2
rxn_1246,Zeus,C#CC,S[CH]C=S,5,0,0,False,3,1,1
rxn_428,Zeus,[O]O,C=CC,3,0,2,False,2,1,0
rxn_301,Zeus,C[O],CC(C)C,5,0,1,False,4,0,0
rxn_732,Zeus,[H],C1CC2CCC1C2,7,0,0,False,8,0,0
rxn_1031,Zeus,C[C](C#C)S,C=CC,7,0,0,False,4,1,1
rxn_1260,Zeus,C#CCC,C[CH]C,7,0,0,False,4,0,1
rxn_1799,Zeus,CS,[CH3],2,0,0,False,1,0,0
rxn_168,Zeus,[Cl],C1CC1,3,0,0,False,3,0,0
rxn_315,Zeus,C[CH]C,C,4,0,0,False,2,0,0
rxn_1610,Zeus,C=C[C](C)C,C=CC,8,0,0,False,4,2,0
rxn_2018,Zeus,[CH2]S,CCC=S,4,0,0,False,3,1,0
rxn_726,Zeus,[OH],C1CC2CCC1C2,7,0,1,False,8,0,0
rxn_982,Zeus,S[CH]C=C,CC(C)C,7,0,0,False,5,1,0
rxn_77,Zeus,SS,[H],0,0,0,False,1,0,0
rxn_98,Zeus,[NH2],CCC(C)C,5,1,0,False,4,0,0
rxn_441,Zeus,OO,[CH2]C=C,3,0,2,False,2,1,0
rxn_345,Zeus,C=CC,[O],3,0,1,False,1,1,0
rxn_1253,Zeus,C#CC,C[C]=S,5,0,0,False,2,1,1
rxn_1915,Zeus,CC(S)C,C=C[CH]C=C,8,0,0,False,5,2,0
rxn_1240,Zeus,C#CC,S=C[C](C)C,7,0,0,False,4,1,1
rxn_266,Zeus,Cc1ccccc1,[O],7,0,1,False,1,0,0
rxn_1009,Zeus,C=CC,[CH2]c1ccccc1,10,0,0,True,2,1,0
rxn_1234,Zeus,C#C[C]=C,C#CC,7,0,0,False,2,1,2
rxn_1636,Zeus,S[CH]C#C,C=CC,6,0,0,False,3,1,1
rxn_326,Zeus,C[C]=O,CC,4,0,1,False,2,1,0
rxn_270,Zeus,Cc1ccccc1,[CH3],8,0,0,False,1,0,0
rxn_622,Zeus,[OH],N,0,1,1,False,0,0,0
rxn_805,Zeus,[H][H],C#C[C]=C,4,0,0,False,2,1,1
rxn_1222,Zeus,C#CC,C=C[C](C)C=C,9,0,0,False,4,2,1
rxn_881,Zeus,C[CH]c1ccccc1,CC,10,0,0,False,3,0,0
rxn_1061,Zeus,C[C](S)C,C=CCC,7,0,0,False,5,1,0
rxn_803,Zeus,[H][H],C=[C]C=C,4,0,0,False,2,2,0
rxn_685,Zeus,[CH3],CN,2,1,0,False,1,0,0
rxn_771,Zeus,CC(C)CO,[CH3],5,0,1,False,4,0,0
rxn_370,Zeus,CC=O,[O][O],2,0,3,False,2,1,0
rxn_571,Zeus,C[C](C)c1ccccc1,C1CC2CCCC2C1,17,0,0,False,12,0,0
rxn_1271,Zeus,C#CCC,[CH2]c1ccccc1,11,0,0,True,3,0,1
rxn_604,Zeus,C=C[CH]C,C1CCC2CCCC2C1,13,0,0,False,12,1,0
rxn_920,Zeus,C#C[C](C)C,CCC,8,0,0,False,5,0,1
rxn_1111,Zeus,C=[C]C=S,C=CC(C)C,8,0,0,False,4,3,0
rxn_357,Zeus,[OH],c1ccccc1,6,0,1,True,0,0,0
rxn_844,Zeus,C=[C]C=C,C,5,0,0,False,1,2,0
rxn_1496,Zeus,C=[C]C=C,CCc1ccccc1,12,0,0,True,3,2,0
rxn_1262,Zeus,C#CCC,[CH2]C=C,7,0,0,False,3,1,1
